Date,Narration,Chq/Ref No,Value Dt,Withdrawal Amt,Deposit Amt,Closing Balance
27/08/2026,ATM WDL-SEC 17 CHD-UPI/1833,UPI/183392272140,27/08/2026,2187.02,,42508.56
28/08/2026,UPI-SWIGGY-PYTM-UPI/6873,UPI/687388210980,28/08/2026,262.32,,42246.24
28/08/2026,RELOAD-METRO-CARD-UPI/8300,UPI/830035444797,28/08/2026,442.77,,41803.47
28/08/2026,UPI-AMAZONPAY-AXL-UPI/1853,UPI/185325953149,28/08/2026,981.40,,40822.07
29/08/2026,ATM WDL-SEC 17 CHD-UPI/2370,UPI/237057838537,29/08/2026,4818.80,,36003.27
29/08/2026,ATM WDL-SEC 17 CHD-UPI/6733,UPI/673354572860,29/08/2026,2994.74,,33008.53
29/08/2026,UPI-ZOMATO-HDFC-UPI/6263,UPI/626337743276,29/08/2026,505.25,,32503.28
30/08/2026,UPI-SWIGGY-PYTM-UPI/6343,UPI/634350169170,30/08/2026,328.68,,32174.60
30/08/2026,ATM WDL-SEC 17 CHD-UPI/7050,UPI/705020548503,30/08/2026,3438.38,,28736.22
30/08/2026,UPI-ZOMATO-HDFC-UPI/6523,UPI/652361470622,30/08/2026,715.59,,28020.63
31/08/2026,UPI-BLINKIT-ICIC-UPI/7595,UPI/759528002726,31/08/2026,832.95,,27187.68
01/09/2026,NEFT CR-INFOSYS LTD-SALARY-AUG26,NEFT82742446,01/09/2026,,65000.00,92187.68
01/09/2026,ATM WDL-SEC 17 CHD-UPI/1618,UPI/161896457979,01/09/2026,4823.43,,87364.25
01/09/2026,UPI-AMAZONPAY-AXL-UPI/7689,UPI/768957056053,01/09/2026,752.79,,86611.46
01/09/2026,UPI-AMAZONPAY-AXL-UPI/5870,UPI/587001144147,01/09/2026,1485.79,,85125.67
02/09/2026,UPI-HPCL PETROL-SBI-UPI/3065,UPI/306567026632,02/09/2026,1612.29,,83513.38
03/09/2026,ELECTRICITY CHANDIGARH-UPI/6670,UPI/667040957150,03/09/2026,3463.12,,80050.26
03/09/2026,UPI-HPCL PETROL-SBI-UPI/6015,UPI/601540817893,03/09/2026,1875.09,,78175.17
03/09/2026,UPI-BLINKIT-ICIC-UPI/7065,UPI/706526405359,03/09/2026,816.21,,77358.96
04/09/2026,RELOAD-METRO-CARD-UPI/8685,UPI/868521365845,04/09/2026,309.24,,77049.72
04/09/2026,ELECTRICITY CHANDIGARH-UPI/6208,UPI/620840959553,04/09/2026,3216.60,,73833.12
