product_title,product_description,ship_from,ship_to,seller,price,source
10g SPEED - NORMAL DRY,">>>IMPORTANT - Before placing your order please message me.<<<

SPEED - NORMAL DRY  -  (Amphetamine)

<<<<<<  Very good SPEED for very good price. Not too wet, it dries very fast. The loss due drying is about max. 10% only!!!

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$100.00,1776
10g SPEED - NORMAL DRY (a little bit wet),"SPEED - NORMAL DRY  -  (Amphetamine)

***Very good SPEED for very good price.

***Not too wet, it dries very fast.

***The loss due drying is about max. 10-15% only!!!

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$90.00,1776
1g AFGHAN KUSH - Outdoor Weed (Very Strong!!!),"„AFGHAN KUSH”  -  Outdoor WEED (Very Strong!!!)



***--- Grade: AAA+ TOP QUALITY!

***--- Genetics: Pure Afghan Kush

***--- THC Content: High 22,60%

***Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. 

***The smell and taste are strong and spicey, the effect is powerful and stoney. 

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$12.00,1776
1g CHOCOLATE FONDUE - Outdoor Weed (Very Strong!!!),">>>IMPORTANT - Before placing your order please message me.<<<

„CHOCOLATE FONDUE”  - Outdoor WEED (Very Strong!!!) 




<<<<<<  Grade: A+++ TOP QUALITY!

<<<<<<  Genetics: Chocolope and Exodus Cheese

<<<<<<  THC Content: High 21%

<<<<<<  Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. :-)

<<<<<<  The smell and taste is sweet and spicey, the effect is powerful and stoney. 

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$12.00,1776
1g CHOCOLATE FONDUE - Specific Outdoor Weed (Top Quality!),"„CHOCOLATE FONDUE”  -  Specific Outdoor WEED (Sativa / Indica)


***--- Name: CHOCOLATE FONDUE

***--- Grade: A+++ TOP QUALITY!

***--- Genetics: Chocolope and Exodus Cheese

***--- THC Content: High 21%

***Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. :-)

***The smell and taste is sweet and spicey, the effect is powerful and stoney. 

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$12.00,1776
1g CRYSTAL SKUNK – Special Indoor Weed for Special People (High Quality!!!),"„CRYSTAL SKUNK”  - Indoor WEED (High Quality!!!) 




<<<<<<  Grade: AAA+ TOP QUALITY!

<<<<<<  Genetics: Skunk #1 and Afghan Kush

<<<<<<  THC Content: High 23,00%

<<<<<<  Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. 

<<<<<<  The smell and taste are excellent and the effect is powerful and stoney.

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$14.00,1776
1g MEPHEDRONE (4-MMC) microcrystal with little rocks (FAMOUS and RARE!) ***Top Quality***,"MEPHEDRONE (4-MMC)  ***Top Quality***

***Microcrystal with little rocks.

***Purity: 99,8%.

***Famous and very rare product.

***Limited Quantity.

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$34.00,1776
1g MEPHEDRONE Crystals (4-MMC),">>>IMPORTANT - Before placing your order please message me.<<<

MEPHEDRONE Crystals

<<<<<<  Purity: 99,8%. Famous and very rare product. Limited Quantity.

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$25.00,1776
1g SPEED - DRY POWDER (bone dry),"SPEED - DRY POWDER  -  (Amphetamine)

***Very good SPEED for very good price.

***Bone dry, very pure.

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$22.00,1776
1g SPEED - NORMAL DRY,">>>IMPORTANT - Before placing your order please message me.<<<

SPEED - NORMAL DRY  -  (Amphetamine)

<<<<<<  Very good SPEED for very good price. Not too wet, it dries very fast. The loss due drying is about max. 10% only!!!

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$12.00,1776
1g SPEED - NORMAL DRY (a little bit wet),"SPEED - NORMAL DRY  -  (Amphetamine)

***Very good SPEED for very good price.

***Not too wet, it dries very fast.

***The loss due drying is about max. 10-15% only!!!

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$12.00,1776
25g CHOCOLATE FONDUE - Specific Outdoor Weed (Top Quality!),"„CHOCOLATE FONDUE”  -  Specific Outdoor WEED (Sativa / Indica)


***--- Name: CHOCOLATE FONDUE

***--- Grade: A+++ TOP QUALITY!

***--- Genetics: Chocolope and Exodus Cheese

***--- THC Content: High 21%

***Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. :-)

***The smell and taste is sweet and spicey, the effect is powerful and stoney. 

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$215.00,1776
25g SPEED - NORMAL DRY (a little bit wet),"SPEED - NORMAL DRY  -  (Amphetamine)

***Very good SPEED for very good price.

***Not too wet, it dries very fast.

***The loss due drying is about max. 10-15% only!!!

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$200.00,1776
2g MEPHEDRONE (4-MMC) microcrystal with little rocks (FAMOUS and RARE!) ***Top Quality***,"MEPHEDRONE (4-MMC)  ***Top Quality***

***Microcrystal with little rocks.

***Purity: 99,8%.

***Famous and very rare product.

***Limited Quantity.

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$60.00,1776
2g MEPHEDRONE Crystals (4-MMC),">>>IMPORTANT - Before placing your order please message me.<<<

MEPHEDRONE Crystals

<<<<<<  Purity: 99,8%. Famous and Rare product. Limited Quantity.

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$46.00,1776
2g SPEED - DRY POWDER (bone dry),"SPEED - DRY POWDER  -  (Amphetamine)

***Very good SPEED for very good price.

***Bone dry, very pure.

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$40.00,1776
3g MEPHEDRONE (4-MMC) microcrystal with little rocks (FAMOUS and RARE!) ***Top Quality***,"MEPHEDRONE (4-MMC)  ***Top Quality***

***Microcrystal with little rocks.

***Purity: 99,8%.

***Famous and very rare product.

***Limited Quantity.

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$84.00,1776
3g MEPHEDRONE Crystals (4-MMC),">>>IMPORTANT - Before placing your order please message me.<<<

MEPHEDRONE Crystals

<<<<<<  Purity: 99,8%. Famous and very rare product. Limited Quantity.

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$63.00,1776
3g SPEED - DRY POWDER (bone dry),"SPEED - DRY POWDER  -  (Amphetamine)

***Very good SPEED for very good price.

***Bone dry, very pure.

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$54.00,1776
50g SPEED PASTE (wet),"SPEED PASTE  -  (Amphetamine)

***Very good SPEED for very good price.

***Very wet, very fresh.

***The loss due drying is about max. 40-45%!!!

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$268.00,1776
5g AFGHAN KUSH - Outdoor Weed (Very Strong!!!),"„AFGHAN KUSH”  -  Outdoor WEED (Very Strong!!!)



***--- Grade: AAA+ TOP QUALITY!

***--- Genetics: Pure Afghan Kush

***--- THC Content: High 22,60%

***Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. 

***The smell and taste are strong and spicey, the effect is powerful and stoney. 

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$55.00,1776
5g CHOCOLATE FONDUE - Outdoor Weed (Very Strong!!!),">>>IMPORTANT - Before placing your order please message me.<<<

„CHOCOLATE FONDUE”  - Outdoor WEED (Very Strong!!!)


<<<<<<  Grade: A+++ TOP QUALITY!

<<<<<<  Genetics: Chocolope and Exodus Cheese

<<<<<<  THC Content: High 21%

<<<<<<  Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. :-)


<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$55.00,1776
5g CHOCOLATE FONDUE - Specific Outdoor Weed (Top Quality!),"„CHOCOLATE FONDUE”  -  Specific Outdoor WEED (Sativa / Indica)


***--- Name: CHOCOLATE FONDUE

***--- Grade: A+++ TOP QUALITY!

***--- Genetics: Chocolope and Exodus Cheese

***--- THC Content: High 21%

***Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. :-)

***The smell and taste is sweet and spicey, the effect is powerful and stoney. 

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$52.00,1776
5g CRYSTAL SKUNK – Special Indoor Weed for Special People (High Quality!!!),"„CRYSTAL SKUNK”  - Indoor WEED (High Quality!!!)


<<<<<<  Grade: AAA+ TOP QUALITY!

<<<<<<  Genetics: Skunk #1 and Afghan Kush

<<<<<<  THC Content: High 23%

<<<<<<  Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals.


<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$65.00,1776
5g MEPHEDRONE (4-MMC) microcrystal with little rocks (FAMOUS and RARE!) ***Top Quality***,"MEPHEDRONE (4-MMC)  ***Top Quality***

***Microcrystal with little rocks.

***Purity: 99,8%.

***Famous and very rare product.

***Limited Quantity.

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$130.00,1776
5g MEPHEDRONE Crystals (4-MMC),">>>IMPORTANT - Before placing your order please message me.<<<

MEPHEDRONE Crystals

<<<<<<  Purity: 99,8%. Famous and very rare product. Limited Quantity.

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$100.00,1776
5g SPEED - NORMAL DRY,">>>IMPORTANT - Before placing your order please message me.<<<

SPEED - NORMAL DRY  -  (Amphetamine)

<<<<<<  Very good SPEED for very good price. Not too wet, it dries very fast. The loss due drying is about max. 10-15% only!!!

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

<<<<<< You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$50.00,1776
5g SPEED - NORMAL DRY (a little bit wet),"SPEED - NORMAL DRY  -  (Amphetamine)

***Very good SPEED for very good price.

***Not too wet, it dries very fast.

***The loss due drying is about max. 10-15% only!!!

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$50.00,1776
7g CHOCOLATE FONDUE - Outdoor Weed (Very Strong!!!),">>>IMPORTANT - Before placing your order please message me.<<<

„CHOCOLATE FONDUE”  - Outdoor WEED (Very Strong!!!)


<<<<<<  Grade: A+++ TOP QUALITY!

<<<<<<  Genetics: Chocolope and Exodus Cheese

<<<<<<  THC Content: High 21%

<<<<<<  Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. :-)

<<<<<<  The smell and taste is sweet and spicey, the effect is powerful and stoney. 

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$73.00,1776
7g SPEED - NORMAL DRY,">>>IMPORTANT - Before placing your order please message me.<<<

SPEED - NORMAL DRY  -  (Amphetamine)

<<<<<<  Very good SPEED for very good price. Not too wet, it dries very fast. The loss due drying is about max. 10% only!!!

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$73.00,1776
TRAMADOL  50 mg  (20 capsules),"Tramadol-HCL capsules (50 mg)

***Strong opioid painkiller and narcotic-like pain reliever.

***Strong opioids (sometimes called opiates) are medicines used to treat severe pain. Tramadol is a type of strong opioid. It works on your nervous system and brain to reduce the way you feel pain.

***Pharmaticeutical quality!!!  (EUROPEAN PRODUCT).

***Store in a cool, dry place, away from direct heat and light.

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$30.00,1776
TRAMADOL  50 mg  (20 capsules),">>>IMPORTANT - Before placing your order please message me.<<<

Tramadol-HCL capsules (50 mg)

***Strong opioid painkiller and narcotic-like pain reliever.

***Strong opioids (sometimes called opiates) are medicines used to treat severe pain. Tramadol is a type of strong opioid. It works on your nervous system and brain to reduce the way you feel pain.

***Pharmaticeutical quality!!!  (EUROPEAN PRODUCT).

***Store in a cool, dry place, away from direct heat and light.

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$30.00,1776
TRAMADOL  50 mg  (40 capsules),"Tramadol-HCL capsules (50 mg)

***Strong opioid painkiller and narcotic-like pain reliever.

***Strong opioids (sometimes called opiates) are medicines used to treat severe pain. Tramadol is a type of strong opioid. It works on your nervous system and brain to reduce the way you feel pain.

***Pharmaticeutical quality!!!  (EUROPEAN PRODUCT).

***Store in a cool, dry place, away from direct heat and light.

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$55.00,1776
TRAMADOL  50 mg  (80 capsules),"Tramadol-HCL capsules (50 mg)

***Strong opioid painkiller and narcotic-like pain reliever.

***Strong opioids (sometimes called opiates) are medicines used to treat severe pain. Tramadol is a type of strong opioid. It works on your nervous system and brain to reduce the way you feel pain.

***Pharmaticeutical quality!!!  (EUROPEAN PRODUCT).

***Store in a cool, dry place, away from direct heat and light.

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$100.00,1776
10g Mid-Grade Northern Lights Cannabis Bud,Listing is for 10g Mid-Grade Northern Lights Cannabis Bud (Low smelling strain),United Kingdom,Worldwide,DRice2020,$80.00,1776
1g Mid-Grade Northern Lights Cannabis Bud,Listing for 1g Mid-Grade Northern Lights Cannabis Bud (Low smelling strain),United Kingdom,Worldwide,DRice2020,$9.50,1776
5g Mid-Grade Northern Lights Cannabis Bud,Listing is for 5g Mid-Grade Northern Lights Cannabis Bud (Low smelling strain),United Kingdom,Worldwide,DRice2020,$42.50,1776
0.5g no. 3 heroin (base),0.5g (500mg) of no. 3 heroin (base). Suitable for smoking off foil or injected if prepared properly by heating in water with a weak acid such as citric acid.,United Kingdom,United Kingdom,ElDorado,$90.00,1776
Beretta M9 Special Edition,"This is the Beretta M9 special edition featuring an attachment rail built into the frame. The gun was purchased out of state and is stolen. Serial numbers were removed and a new barrel was put in. Other than being stolen, the gun has never been used in a crime. Pictures of the real gun available upon request. Half of the total payment ($600) is required upfront before any parts are shipped. The gun is shipped in 4 packages and tracking numbers will be available for all of them.",Undeclared,Worldwide,Grantillion,$1200.00,1776
Hash Oil Applicator,"1g of Hash Oil in an Oral Syringe applicator. Sticky and a little runny. Dark in color. Whole plant used, fan leaves and trim.",Undeclared,United States,LibertyOrHemp,$20.00,1776
Honeycomb Wax,"Wax breaks apart into small chunks. Will stick to fingers or with some warmth, but otherwise crumbles apart. Brown - gold in color. Made from high quality trim.",Undeclared,United States,LibertyOrHemp,$35.00,1776
100 Pills Valium (Roche) 10 MG,"Valium (diazepam) is a benzodiazepine (ben-zoe-dye-AZE-eh-peens). Diazepam affects chemicals in the brain that may become unbalanced and cause anxiety. Valium is used to treat anxiety disorders. 


Packages:
M2B is offering small, regular and bulk quantity customers can view our listing here: 

Shipping Area: We ship from USA,UK and Philippines. 

Note:
Product delivered can be different from the image listed. We try our level best to ensure customer satisfaction. But in any case if you are not satisfied please contact us before throwing a negative feedback.

Skype ID : meds-2-buy 
Email ID : meds2buy@safe-mail.net",Worldwide,Worldwide,Meds2Buy,$105.00,1776
100 Pills Xanax 1 MG,"Xanax (alprazolam) is used to treat anxiety disorders, panic disorders, and anxiety caused by depression. It works by slowing down the movement of chemicals in the brain that may become unbalanced. This results in a reduction in nervous tension (anxiety).
[Shipping Area]:
We ship from USA,UK and Philippines.

[Note]:
Product delivered can be different from the image listed. We try our level best to ensure customer satisfaction. But in any case if you are not satisfied please contact us before throwing a negative feedback.

[Skype ID]: meds-2-buy

[Email ID]: meds2buy@safe-mail.net",Worldwide,Worldwide,Meds2Buy,$105.00,1776
1000 Pills Valium (Roche) 10 MG,"Valium (diazepam) is a benzodiazepine (ben-zoe-dye-AZE-eh-peens). Diazepam affects chemicals in the brain that may become unbalanced and cause anxiety. Valium is used to treat anxiety disorders. [Shipping Area]: We ship from USA,UK and Philippines. [Note]: Product delivered can be different from the image listed. We try our level best to ensure customer satisfaction. But in any case if you are not satisfied please contact us before throwing a negative feedback. [Skype ID]: meds-2-buy [Email ID]: meds2buy@safe-mail.net",Worldwide,Worldwide,Meds2Buy,$505.00,1776
